species	time_lag	first_observed	griis_first_observed
Sixalix atropurpurea		2017	
Skimmia japonica	3	2015	2012
Smilax aspera		2008	
Smyrnium olusatrum		2016	
Smyrnium perfoliatum		2009	
Solanum aethiopicum		2008	
Solanum americanum		2007	
Solanum angustifolium		2006	
Solanum chenopodioides		2011	
Solanum pimpinellifolium		2009	
Solanum pseudocapsicum	0	2015	2015
Solanum sarachoides		2006	
Solanum sisymbriifolium		2009	
Solanum triflorum		2010	
Solanum villosum		2008	
Solidago altissima	0	2016	2016
Soliva sessilis		2016	
Sonchus glaucescens		2018	
Sonchus tenerrimus		2009	
Sorbaria kirilowii	0	2013	2013
Sorbaria tomentosa		2009	
Sorghum bicolor		2006	
Spartium junceum		2009	
Spergularia bocconei	0	2016	2016
Sphaeralcea bonariensis		2016	
Spilopelia chinensis		2020	
Spilotes pullatus			2010
Spinacia oleracea		2010	
Spinus magellanicus		2020	
Spiraea canescens		2009	
Spiraea chamaedryfolia		2011	
Spiraea japonica		2006	
Spiraea nipponica	0	2010	2010
Spiraea salicifolia		2021	
Spiraea thunbergii		2020	
Spiraea tomentosa		2008	
Spiranthes cernua		2021	
Spizaetus melanoleucus			2017
Sporobolus indicus		2007	
Sporobolus michauxianus		2010	
Stachys byzantina		2006	
Stachys cretica		2019	
Staphylea pinnata		2010	
Steatoda nobilis		2017	
Stelidota geminata			2018
Stellaria cupaniana	0	2013	2013
Stenopelmus rufinasus		2013	
Stephanitis rhododendri			2018
Sternochetus mangiferae		2021	
Sternotherus carinatus			2020
Stictocephala bisonia		2010	
Stigmaeopsis nanjingensis		2018	
Stipiturus malachurus		2020	
Stranvaesia davidiana		2010	
Streptopelia lugens		2016	
Streptopelia tranquebarica		2015	
Striosubulina striatella	0	2013	2013
Strix uralensis		2019	
Stropholoma aurantiacum			2018
Sturnia pagodarum		2020	
Styphnolobium japonicum	-8	2011	2019
Sufetula diminutalis		2020	
Suricata suricatta		2021	
Symphoricarpos orbiculatus	7	2019	2012
Symphyotrichum ciliatum		2009	
Symphyotrichum dumosum		2017	
Symphyotrichum lateriflorum		2008	
Symphyotrichum novae-angliae		2006	
Symphyotrichum pilosum		2007	
Symphyotrichum subulatum		2008	
Symphytum asperum		2010	
Symphytum caucasicum		2010	
Symphytum grandiflorum		2007	
Symphytum orientale	0	2020	2020
Symphytum tuberosum		2021	
Synidotea laticauda		2017	
Syringa josikaea		2008	
Tachycines asynamorus			2018
Taeniatherum caput-medusae		2011	
Tagetes erecta		2008	
Tagetes minuta		2007	
Tamarix africana		2007	
Tamarix gallica		2008	
Tamarix parviflora		2008	
Tamiasciurus hudsonicus	0	2015	2015
Tanacetum balsamita		2016	
Tanacetum macrophyllum		2007	
Tarenaya guaranitica		2007	
Tarentola mauritanica	2	2015	2013
Tauraco leucotis		2021	
Tauraco persa		2020	
Taxus baccata		2015	
Telekia speciosa		2007	
Telmatogeton japonicus	-10	2009	2019
Terapon jarbua			2018
Terrapene carolina			2012
Testudo graeca	1	2011	2010
Testudo hermanni	0	2013	2013
Tetragonia tetragonioides		2016	
Tetramoera langmaidi		2013	
Teucrium hircanicum	7	2019	2012
Teucrium lucidrys			2011
Thalia dealbata	-1	2015	2016
Thalictrum delavayi	0	2020	2020
Thalictrum lucidum		2021	
Thalictrum speciosissimum	0	2011	2011
Thamnophis sirtalis		2021	
Thaumatotibia leucotreta	0	2016	2016
Thecaphora oxalidis			2014
Theristicus melanopis		2015	
Thermobia domestica	-4	2014	2018
Thermopsis montana		2015	
Thladiantha dubia	0	2010	2010
Threskiornis spinicollis		2008	
Thuja occidentalis		2007	
Thunbergia alata	0	2013	2013
Thysanoplusia orichalcea		2021	
Tiarella cordifolia	1	2013	2012
Tiaris canorus		2020	
Tinantia erecta		2017	
Tinantia pringlei		2019	
Tithonia rotundifolia	0	2015	2015
Tolmiea menziesii	0	2015	2015
Tordylium maximum		2010	
Torilis africana		2014	
Trachelium caeruleum		2010	
Trachelospermum jasminoides		2019	
Trachemys scripta		2006	
Trachycarpus fortunei	-2	2013	2015
Trachylepis striata			2018
Trachystemon orientale		2008	
Tradescantia fluminensis		2007	
Tradescantia pallida		2013	
Tradescantia virginiana		2007	
Tradescantia zebrina		2021	
Tragopogon dubius		2019	
Tragopogon orientalis		2013	
Tragus racemosus		2011	
Trapa natans		2015	
Tremulicerus distinguendus		2017	
Triaeris stenaspis			2018
Trialeurodes vaporariorum		2018	
Tribulus terrestris		2020	
Trichiusa immigrata		2014	
Trichoglossus haematodus	0	2015	2015
Trichopsocus clarus			2018
Trichorhina tomentosa		2015	
Trifolium angustifolium		2021	
Trifolium diffusum		2011	
Trifolium echinatum		2018	
Trifolium glomeratum		2016	
Trifolium hybridum		2008	
Trifolium incarnatum		2016	
Trifolium lappaceum		2021	
Trifolium michelianum		2016	
Trifolium nigrescens	0	2016	2016
Trifolium pallidum		2013	
Trifolium retusum		2020	
Trifolium suffocatum	0	2015	2015
Trifolium sylvaticum	0	2016	2016
Trifolium tomentosum		2015	
Trifolium vesiculosum		2014	
Trigonella caelesyriaca		2011	
Trigonella caerulea		2011	
Trigonella foenum-graecum		2015	
Trigonella procumbens		2016	
Trioceros hoehnelii			2019
Triodanis perfoliata	0	2018	2018
Tripleurospermum decipiens	0	2011	2011
Trisetaria panicea		2015	
Triteleia laxa	0	2014	2014
Triticum aestivum		2011	
Triticum turgidum		2012	
Triturus marmoratus	0	2018	2018
Trochus maculatus		2019	
Trogium pulsatorium			2018
Tropidosteptes pacificus		2018	
Tulipa gesneriana		2006	
Tulipa urumiensis		2013	
Tupiocoris rhododendri		2011	
Tuponia brevirostris		2017	
Tuponia mixticolor		2017	
Turdus dissimilis		2011	
Turdus hortulorum		2017	
Tuta absoluta		2011	
Typha laxmannii	0	2010	2010
Typha minima		2016	
Typha provincialis			2012
Ulex minor		2011	
Uloborus plumipes		2008	
Umbilicus rupestris		2010	
Urochloa panicoides		2009	
Urocissa erythroryncha	1	2018	2017
Uroctea durandi			2018
Urtica membranacea	0	2011	2011
Vaccinium corymbosum		2010	
Vaccinium macrocarpum		2018	
Valeriana calcitrapae			2019
Valerianella dentata		2014	
Valerianella eriocarpa		2011	
Valerianella locusta		2010	
Vallisneria americana			2016
Vallisneria australis		2016	
Vallisneria spiralis		2009	
Varanus niloticus			2011
Varroa destructor		2006	
Verbascum brockmuelleri			2010
Verbascum chaixii		2021	
Verbascum nigrum x speciosum			2014
Verbascum phoeniceum		2014	
Verbascum speciosum		2009	
Verbascum virgatum		2007	
Verbena bracteata	0	2016	2016
Verbena hastata		2009	
Verbena hybrida		2012	
Verbena incompta	0	2018	2018
Verbena rigida		2013	
Verbesina alternifolia		2015	
Vernonia fasciculata	2	2015	2013
Veronica austriaca			2015
Veronica cymbalaria	1	2016	2015
Veronica orchidea		2013	
Veronica pinguifolia		2017	
Veronica repens	0	2020	2020
Veronica teucrium		2010	
Veronica triloba		2017	
Veronicastrum virginicum	3	2016	2013
Vespa orientalis		2021	
Vespa velutina	0	2011	2011
Viburnum davidii	1	2015	2014
Viburnum opulus		2021	
Viburnum plicatum	0	2013	2013
Viburnum rhytidophylloides			2013
Viburnum rhytidophyllum		2007	
Viburnum tinus		2007	
Vicia bithynica		2011	
Vicia cuspidata	0	2016	2016
Vicia dalmatica		2012	
Vicia grandiflora		2011	
Vicia lens		2007	
Vicia monantha		2015	
Vicia narbonensis		2007	
Vicia pannonica		2010	
Vicia serratifolia		2015	
Vinca minor		2021	
Vincetoxicum nigrum		2011	
Viola cornuta		2019	
Viola hederacea	0	2020	2020
Viola riviniana		2013	
Viola sororia	0	2018	2018
Viridicerus ustulatus		2010	
Visnaga daucoides		2006	
Vitis vinifera		2007	
Volvariella volvacea			2018
Vulpes lagopus		2021	
Vulpia ciliata		2006	
Weigela floribunda		2009	
Wolffia columbiana	0	2017	2017
Xanthium orientale		2020	
Xanthium spinosum		2011	
Xanthocyparis nootkatensis		2018	
Xenopus laevis		2006	
Xerochrysum bracteatum		2013	
Xylocopa virginica	0	2015	2015
Yersinella raymondii	0	2012	2012
Yucca flaccida		2010	
Yucca gloriosa		2006	
Zamenis longissimus	3	2019	2016
Zantedeschia aethiopica	3	2016	2013
Zantedeschia albomaculata	10	2021	2011
Zelkova serrata	0	2015	2015
Zingeria pisidica	0	2011	2011
Zinnia elegans		2011	
Zinnia violacea			2011
Zizania latifolia	-1	2009	2010
Ziziphus lotus		2007	
Zonotrichia capensis	0	2018	2018
Zophobas atratus		2021	
Zoropsis spinimana		2007	
Zygina nivea		2016	
			2010
